date,newCasesBySpecimenDate,cumCasesBySpecimenDate,newDeaths28DaysByDeathDate,cumDeaths28DaysByDeathDate,B.1.1.7,B.1.617.2,cumPeopleVaccinatedFirstDoseByVaccinationDate,cumPeopleVaccinatedSecondDoseByVaccinationDate
2020-06-08,0.013667457384012798,0.05197111511704527,0.09003215434083602,0.30855436843317563,0.0,0.0,0.0,0.0
2020-06-09,0.01452253544436476,0.05221237234903438,0.06832797427652733,0.30930739382342,0.0,0.0,0.0,0.0
2020-06-10,0.01488111656644784,0.05245958654971457,0.07797427652733119,0.3101667286805223,0.0,0.0,0.0,0.0
2020-06-11,0.012577922436144978,0.05266853868226354,0.05707395498392283,0.3107957263594323,0.0,0.0,0.0,0.0
2020-06-12,0.013005461466320957,0.05288459335440573,0.058681672025723476,0.31144244228281864,0.0,0.0,0.0,0.0
2020-06-13,0.010909141060296794,0.05306582267112309,0.04180064308681672,0.3119031166392034,0.0,0.0,0.0,0.0
2020-06-14,0.010247145142604955,0.05323605450717998,0.06109324758842444,0.3125764099293042,0.00031938677738741617,0.0,0.0,0.0
2020-06-15,0.012936503558228058,0.05345096360842004,0.04903536977491962,0.3131168163858325,0.0,0.0,0.0,0.0
2020-06-16,0.013667457384012798,0.0536780157612227,0.05546623794212219,0.3137280958202661,0.0,0.0,0.0,0.0
2020-06-17,0.012550339272907817,0.053886509665410816,0.04340836012861737,0.31420648842112725,0.0,0.0,0.0,0.0
2020-06-18,0.013005461466320957,0.054102564337553005,0.04581993569131833,0.31471145838870285,0.0,0.0,0.0,0.0
2020-06-19,0.011295305345617035,0.05429020885132231,0.03778135048231511,0.31512783713389675,0.0,0.0,0.0,0.0
2020-06-20,0.008661113256468251,0.054434092556630155,0.04340836012861737,0.3156062297347579,0.0,0.0,0.0,0.0
2020-06-21,0.00758536989021901,0.054560105355864724,0.03778135048231511,0.3160226084799518,0.0,0.0,0.0,0.0
2020-06-22,0.011240139019142715,0.054746833412912324,0.04662379421221865,0.31653643756976557,0.0,0.0,0.0,0.0
2020-06-23,0.010067854581563413,0.05491408676462367,0.04903536977491962,0.3170768440262939,0.0,0.0,0.0,0.0
2020-06-24,0.010026479836707673,0.05508065277379374,0.053858520900321546,0.3176704052162512,0.0,0.0,0.0,0.0
2020-06-25,0.008743862746179732,0.05522591116418414,0.04662379421221865,0.31818423430606496,0.0,0.0,0.0,0.0
2020-06-26,0.008854195399128371,0.05537300246801795,0.0297427652733119,0.31851202182887717,0.0,0.0,0.0,0.0
